id,text
1,So does he have a hump? A hump and a hairpiece?
2,Sounds like a date to me. 
3,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realise I am totally naked."
4,"Then I look down, and I realise there's a phone... there."
5,That's right.
6,"All of a sudden, the phone starts to ring. And it turns out it's my mother, which is very weird, because- she never calls me! "
7,Cookie?
8,Sometimes I wish I was a lesbian...  Did I say that out loud?
9,And I just want a million dollars! 
10," Ooh, she should not be wearing those pants."
11,"Please don't do that again, it's a horrible sound."
12,"Ooh, this is a Dear Diary moment."
13,"I'm sorry, I didn't catch your name. Paul, was it?"
14," Yes, and we're very excited about it."
15,I have no idea. 
16,All finished!
17,"Oh, man."
18,Stay out of my freezer! 
19,That is amazing.
20,"Hi, Paul, is it? "
21,"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference..."
22,"'Look, Gippetto, I'm a real live boy.'"
23,"You're right, I'm sorry.  'Once I was a wooden boy, a little wooden boy..' "
24,And yet you're surprisingly upbeat.
25,"Oh, how well you know me..."
26,"Did you make it, or are you just serving it?"
27,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out."
28,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake."
29,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding."
30,"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and...  ...now I wish I was dead. "
31,"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow."
32," Ew, ew, ew, ew ew ew ew ew!"
33,Ugly Naked Guy got a Thighmaster!
34,You don't get a lot of 'doy' these days...
35,...Dinah?
36,"Now, Monica, you know that's not how you look for an engagement ring in a lasagne..."
37,Boys? We're going in. 
38,"Kinda puts that whole pillow thing in perspective, huh, Mon?"
39,"I mean presumably, the biggest part of your job is done."
40,What does she do?
41,"Well, no, although I did have an imaginary friend, who... my parents actually preferred."
42,"I dunno, but.. I think it's about to attack the Enterprise."
43,Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.
44,"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm."
45,So how does it feel knowing you're about to die?
46,"Hey, that was really good!"
47,"Okay. ""So. Whaddya want from me, Damone, huh?"""
48,Smoke away. 
49,I think this is probably why Damone smokes in his cell alone.
50,Relax your hand! 
51,Not so much!
52,Hey!
53,"Alright, now try taking a puff. "
54,Alright.. okay. No. Give it to me.
55,"It's fine, it's fine. Look, do you wanna get this part, or not? Here. "
56,"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete."
57,"Nah, not so much. Alright, now we smoke.  Oh.. my.. God.  "
58,"Oh, Satan's minions at work again..."
59,"I'm smoking. I'm smoking, I'm smoking."
60,And this- is my reward!
61,"Okay, so this time I won't quit!"
62,"All right! I'm putting it out, I'm putting it out. "
63,What are you talking about? We love Schhteve! Schhteve was schhexy!.. Sorry.
64,"Oh, yeah. I'd marry him just for his David Hasselhof impression alone. You know I'm gonna be doing that at parties, right? "
65,"Yep, we sure showed those Hassidic jewellers a thing or two about softball.."
66,I personally could have a gallon of Alan.
67,"Well, maybe it's a contest, y'know? Like, collect all five?"
68,"Hey, this is so unfair!"
69,"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this? "
70,"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it."
71,"Really? He does?  Hey, buddy, what's up! Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. Well, okay, thanks! "
72,"Ooh, Lambchop. How old is that sock? If I had a sock on my hand for thirty years it'd be talking too."
73,"Joey ate my last stick of gum, so I killed him. Do you think that was wrong?"
74," Ooh, I'm alive with pleasure now."
75," Oh, she's sorry! I feel better!"
76,...That's it. I'm getting cigarettes.
77," I don't care, I don't care! Game's over! I'm weak! I've gotta smoke! I've gotta have the smoke!"
78,"Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever."
79,You got waaaay too much free time.
80,"Happy birthday, pal!"
81,"Well, aren't we Mr. ""The glass is half empty""."
82,Eleven days before Hallowe'en.. all the good costumes are gone?
83," C'mon, Ross! You, me, Joey, ice, guys' night out, c'mon, whaddya say, big guy,  huh? huh? huh?"
84, I have no idea.
85,You got it. 
86," Oh, this is not that bad."
87,...Poulet passes it up to Leech! 
88,We'll take a brief time out while Messier stops to look at some women's shoes.
89,"Yes, Bunny?"
90, Could've been a peach.
91,What? There was ice there that night with Carol? Plastic seats? Four thousand angry Pittsburgh fans?
92," See buddy, that's all you need, a bunch of toothless guys hitting each other with sticks."
93,He's open!
94,"Hey, look, we're on that TV thing!   SCENE"
95,'Scuse me.
96,"Listen, it's kind of an emergency. Well, I guess you know that, or we'd be in the predicament room. "
97,"Excuse me, look, we've been here for over an hour, and a lot of people less sick than my friend have gone in. I mean, that guy with the toe thing? Who's he sleeping with? "
98,"Oh, c'mon Dora, don't be mad... I know we both said some things we didn't mean, but that doesn't mean we still don't love each other.  Y'know, I feel like I've lost her..  Ba-! "
99,"Yes, the moon, the glow, the magical feeling, you did this part- Could I get some painkillers over here, please?"
100,"Well, what? What? What is it? That she left you? That she likes women? That she left you for another woman that likes women?"
101,Then what?
102,"So in your whole life, you've only been with one-  -oh."
103,"I think it's great. Y'know, it's sweet, it's romantic.."
104,"No, you kidding? The guy's a freak.. "
105,"Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight."
106,"You gotta do it, man."
107,Thanks. 
108,"Hello? Oh, uh, Rachel, it's the Visa card people."
109,"Alright.  Yes, this is Rachel."
110,"To the left, to the left- aww! "
111,"We can? All right, I'm tryin' that."
112,"So, Saturday night, the big night, date night, Saturday night, Sat-ur-day night!"
113,Not a one.
114,"Oh, right, right, shut up."
115,"No, I know, but it's just so hard, you know? I mean, you're sitting there with her, she has no idea what's happening, and then you finally get up the courage to do it, and there's the horrible awkward moment when you've handed her the note."
116,"Oh, thanks, but I think she'd feel like we're gangin' up on her."
117,"Ooh, I hate when my father calls me that."
118,"Oh. Well, hold on camper, are you sure you've thought this thing through?"
119,"It's just you and Rachel, just the two of you? This is a date. You're going on a date."
120,Yuh-huh.
