ID,pos_sentiment,neg_sentiment,pos_verb,neg_verb
1,0.000000,0.000000,0.000000,0.000000,Chandler
2,0.000000,0.000000,0.000000,0.000000,Joey
3,0.028125,0.003125,0.050000,0.025000,Joey
4,0.022917,0.022917,0.025000,0.012500,Rachel
5,0.359375,0.046875,0.156250,0.093750,Chandler
6,0.075000,0.031250,0.150000,0.000000,Joey
7,0.000000,0.000000,0.000000,0.000000,Joey
8,0.072917,0.033333,0.006250,0.031250,Joey
9,0.027500,0.018125,0.062500,0.018750,Joey
10,0.004167,0.000000,0.012500,0.000000,Joey
11,0.087500,0.000000,0.325000,0.000000,Rachel
12,0.030556,0.008333,0.000000,0.000000,Rachel
13,0.078571,0.032143,0.100000,0.041667,Joey
14,0.000000,0.000000,0.000000,0.000000,Rachel
15,0.035417,0.090278,0.050000,0.000000,Chandler
16,0.016667,0.008333,0.050000,0.025000,Rachel
17,0.021875,0.015625,0.000000,0.000000,Joey
18,0.072396,0.023438,0.025000,0.000000,Rachel
19,0.084191,0.018750,0.101250,0.006250,Rachel
20,0.044494,0.026042,0.038636,0.044318,Chandler
21,0.048750,0.043750,0.070000,0.035000,Joey
22,0.000000,0.000000,0.000000,0.000000,Chandler
23,0.060000,0.025000,0.150000,0.000000,Rachel
24,0.003571,0.012500,0.016667,0.041667,Chandler
25,0.033333,0.026562,0.051042,0.044792,Rachel
26,0.039583,0.000000,0.006250,0.000000,Chandler
27,0.038362,0.055686,0.032500,0.012500,Chandler
28,0.109375,0.015625,0.000000,0.000000,Rachel
29,0.029167,0.008333,0.075000,0.025000,Rachel
30,0.069318,0.026136,0.162500,0.012500,Chandler
31,0.012500,0.006250,0.043750,0.000000,Chandler
32,0.000000,0.000000,0.000000,0.000000,Rachel
33,0.039286,0.014286,0.108333,0.166667,Joey
34,0.000000,0.000000,0.000000,0.000000,Joey
35,0.281250,0.031250,0.000000,0.000000,Rachel
36,0.085938,0.006250,0.050000,0.025000,Joey
37,0.020833,0.016026,0.020000,0.005000,Rachel
38,0.060625,0.005625,0.025000,0.012500,Chandler
39,0.030417,0.012917,0.087500,0.037500,Rachel
40,0.048958,0.006250,0.025000,0.012500,Rachel
41,0.135000,0.005000,0.000000,0.000000,Chandler
42,0.016667,0.114583,0.050000,0.000000,Chandler
43,0.029545,0.106818,0.016667,0.033333,Joey
44,0.089063,0.007812,0.281250,0.031250,Chandler
45,0.029787,0.026330,0.014583,0.014583,Joey
46,0.010417,0.033333,0.000000,0.000000,Chandler
47,0.050000,0.022321,0.016667,0.000000,Joey
48,0.000000,0.000000,0.000000,0.000000,Joey
49,0.078125,0.055469,0.025000,0.012500,Rachel
50,0.003125,0.120313,0.025000,0.000000,Joey
51,0.003571,0.008929,0.012500,0.000000,Rachel
52,0.078571,0.007143,0.000000,0.000000,Joey
53,0.000000,0.000000,0.000000,0.000000,Rachel
54,0.012500,0.006250,0.000000,0.000000,Rachel
55,0.000000,0.006250,0.000000,0.000000,Joey
56,0.083333,0.000000,0.000000,0.000000,Chandler
57,0.058333,0.000000,0.000000,0.000000,Joey
58,0.032337,0.023370,0.056250,0.045312,Rachel
59,0.016667,0.018750,0.000000,0.012500,Chandler
60,0.009375,0.007812,0.025000,0.000000,Chandler
61,0.000000,0.000000,0.000000,0.000000,Rachel
62,0.000000,0.000000,0.000000,0.000000,Chandler
63,0.015000,0.037500,0.025000,0.012500,Joey
64,0.000000,0.000000,0.000000,0.000000,Chandler
65,0.039583,0.033333,0.068750,0.037500,Chandler
66,0.128125,0.070312,0.012500,0.000000,Rachel
67,0.074306,0.081250,0.025000,0.012500,Chandler
68,0.000000,0.000000,0.000000,0.000000,Chandler
69,0.050000,0.018429,0.050000,0.006250,Chandler
70,0.009615,0.001923,0.025000,0.012500,Joey
71,0.005000,0.012500,0.025000,0.000000,Rachel
72,0.000000,0.010417,0.000000,0.000000,Joey
73,0.014286,0.027679,0.008333,0.000000,Chandler
74,0.125000,0.020000,0.100000,0.025000,Joey
75,0.092045,0.042045,0.075000,0.100000,Chandler
76,0.003571,0.007143,0.000000,0.000000,Chandler
77,0.012500,0.078125,0.000000,0.037500,Chandler
