said	james
must	cost
fifteenth	date
though	hes
emma	needs
want	okay
pepperoni	pepperoni
talking	right
mon	tell
living	street
dont	space
alright	let
course	youre
much	theyre
happy	chanukah
um	oh
went	shopping
see	lem
ask	yknow
percent	sure
want	sleep
want	name
put	charge
hey	check
gone	shes
got	birthday
wants	come
us	long
bad	really
name	fact
care	babies
see	thought
shower	okay
youre	already
baby	hey
kiss	tell
like	though
look	made
staying	still
month	pregnancy
ass	monica
probably	wont
another	thing
bye	oh
thought	mess
gooood	luck
cant	fly
know	hard
look	twins
use	one
rachel	knows
lasted	whole
okay	question
ooh	cant
oh	wont
last	thing
jenny	hi
check	unbelievable
second	maybe
like	shes
place	yknow
thats	enough
excuse	anniversary
hates	hes
things	read
know	woman
thought	really
cause	theyre
feel	terrible
like	mr
thought	yknow
death	capsules
hows	favorite
first	chandler
walking	shes
say	yes
cause	could
put	em
kinda	looks
things	worse
oh	yay
would	move
anything	like
football	phone
thought	guys
everything	isnt
ohh	god
really	wants
know	cause
know	kind
read	book
took	care
ok	havent
know	doesnt
sure	dont
rachel	living
sweet	hes
baby	oh
umm	get
could	could
