gon,na,293
no,no,271
i,dont,187
are,you,153
you,know,150
this,is,141
i,was,140
have,to,133
all,right,129
and,i,127
in,the,123
do,you,121
i,think,118
i,just,113
i,mean,110
i,know,106
of,the,93
i,cant,90
it,was,87
well,i,86
to,be,84
im,not,84
going,to,81
a,little,76
you,have,75
i,have,74
come,on,74
know,what,73
want,to,73
dont,know,72
that,i,72
if,you,72
my,god,71
i,am,68
oh,my,68
on,the,68
did,you,67
you,dont,67
to,the,67
i,can,67
yeah,i,66
im,gon,65
what,i,65
you,guys,64
to,do,64
have,a,63
na,be,61
im,sorry,60
i,got,60
but,i,60
wan,na,60
what,are,60
no,i,60
you,are,59
oh,yeah,57
with,the,57
do,it,57
i,i,57
you,can,55
and,then,54
and,you,54
you,want,54
yknow,what,54
out,of,52
for,the,52
a,lot,52
to,get,52
yknow,i,51
that,was,51
its,a,50
for,a,50
i,didnt,49
it,is,49
oh,no,49
its,not,48
you,were,48
know,i,48
do,that,47
if,i,47
in,a,47
is,that,46
is,it,45
i,thought,45
i,love,45
is,a,44
you,and,44
that,you,44
you,got,43
can,i,43
for,you,43
that,is,41
all,the,41
one,of,41
let,me,41
i,did,40
to,you,40
dont,think,40
look,at,40
you,do,40
and,the,40
cant,believe,39
so,you,39
okay,i,39
when,i,39
to,me,38
to,go,38
dont,have,38
so,i,37
we,can,37
think,i,37
the,way,37
opening,credits,37
not,gon,37
you,think,36
what,is,36
youre,not,36
when,you,36
you,to,36
i,do,36
what,you,36
okay,okay,36
we,have,36
of,my,35
oh,i,35
is,the,35
kind,of,35
got,a,35
with,me,35
you,you,35
talk,to,35
well,you,34
would,be,34
thank,you,34
to,say,34
you,i,34
be,a,34
because,i,34
at,the,34
got,ta,33
you,get,33
i,could,33
with,a,33
do,i,33
right,now,33
like,a,32
with,you,32
i,guess,32
in,my,32
na,do,32
in,there,32
me,to,32
go,to,32
was,a,31
know,that,31
i,get,31
you,go,31
out,with,31
were,gon,31
what,do,31
me,i,31
you,cant,31
i,want,31
we,were,31
dont,you,31
say,that,30
you,look,30
okay,so,30
i,had,30
had,a,30
can,you,30
and,im,30
to,tell,30
dont,want,30
you,should,30
love,you,30
and,a,29
tell,you,29
its,just,29
would,you,29
youre,gon,29
in,here,29
oh,thats,29
then,i,28
you,just,28
trying,to,28
of,you,28
we,go,28
i,see,28
know,you,28
all,of,27
about,the,27
think,that,27
you,didnt,27
you,said,27
to,have,27
i,will,27
about,it,26
lot,of,26
like,that,26
no,you,26
get,out,26
up,with,26
a,good,26
na,go,26
to,see,26
can,do,26
get,a,25
thats,not,25
is,so,25
thats,great,25
wanted,to,25
yeah,well,25
to,know,25
you,mean,25
you,doing,25
hey,i,25
monica,and,25
of,a,24
not,a,24
on,a,24
im,so,24
that,we,24
yes,yes,24
yes,i,24
so,what,24
that,im,24
just,a,24
hey,you,24
me,a,24
a,big,24
right,i,24
we,are,24
am,i,24
thats,what,24
want,you,24
if,we,24
i,said,24
why,dont,24
with,her,23
what,did,23
we,should,23
he,was,23
tell,her,23
of,course,23
you,okay,23
will,you,23
we,dont,23
thats,a,23
a,great,23
were,not,23
we,could,23
whoa,whoa,23
the,best,23
hey,hey,23
get,to,22
what,what,22
go,out,22
like,this,22
a,minute,22
okay,you,22
what,if,22
the,last,22
do,this,22
to,make,22
supposed,to,22
you,in,22
used,to,22
you,say,22
did,i,21
it,i,21
like,the,21
talking,about,21
each,other,21
oh,come,21
tell,me,21
uh,i,21
by,the,21
you,a,21
get,married,21
look,i,21
now,i,20
and,we,20
what,the,20
is,not,20
going,on,20
there,you,20
she,was,20
so,uh,20
got,to,20
the,same,20
i,need,20
need,to,20
was,just,20
okay,but,20
you,see,20
im,just,20
have,you,20
hey,oh,20
youre,right,19
of,your,19
think,its,19
it,to,19
you,wan,19
na,get,19
it,you,19
big,deal,19
there,was,19
you,did,19
in,your,19
here,we,19
like,to,19
the,other,19
im,going,19
last,night,19
yeah,im,19
for,me,19
oh,oh,19
we,just,19
a,very,19
of,us,19
thats,the,19
but,im,19
i,would,19
is,this,19
in,love,19
could,be,19
commercial,break,19
it,okay,19
sorry,i,18
im,a,18
so,much,18
as,a,18
well,maybe,18
the,hell,18
ive,got,18
it,oh,18
its,the,18
and,uh,18
so,sorry,18
ive,been,18
i,really,18
about,this,18
from,the,18
did,it,18
get,the,18
we,get,18
see,you,18
and,he,18
me,and,18
i,say,17
to,work,17
well,its,17
take,a,17
be,in,17
the,big,17
i,like,17
why,not,17
i,went,17
what,im,17
but,if,17
but,you,17
why,would,17
because,you,17
is,gon,17
she,is,17
the,only,17
theres,a,16
looking,for,16
oh,uh,16
that,would,16
can,be,16
and,they,16
have,the,16
how,do,16
way,to,16
are,we,16
went,to,16
this,i,16
right,here,16
think,you,16
my,best,16
i,told,16
yeah,yeah,16
oh,yes,16
got,the,16
at,this,16
not,just,16
know,if,16
is,she,16
im,in,16
was,like,16
love,with,16
ho,ho,16
was,the,16
what,happened,16
the,phone,15
and,it,15
know,how,15
yeah,its,15
of,it,15
time,i,15
about,that,15
well,thats,15
my,friend,15
the,first,15
about,you,15
try,to,15
i,wan,15
the,rest,15
the,door,15
on,you,15
me,you,15
credits,hey,15
is,going,15
what,was,15
to,her,15
you,so,15
just,dont,15
well,it,15
say,you,15
bye,bye,15
okay,im,15
i,should,15
said,that,15
were,just,15
it,would,15
right,look,15
be,the,15
ross,and,15
have,no,14
out,the,14
and,now,14
the,thing,14
with,that,14
no,one,14
on,my,14
got,it,14
thought,you,14
youre,going,14
well,im,14
oh,god,14
rest,of,14
help,me,14
my,life,14
but,uh,14
you,all,14
make,a,14
wait,a,14
i,couldnt,14
yeah,we,14
me,the,14
it,on,14
shes,not,14
there,is,14
oh,its,14
you,will,14
at,least,14
are,the,14
we,got,14
to,talk,14
if,it,14
mean,i,14
know,its,14
that,youre,14
doing,this,14
oh,hey,14
joey,joey,14
me,too,14
over,there,14
whats,the,14
has,a,14
of,our,14
the,ring,14
the,wedding,14
i,look,13
right,im,13
it,so,13
were,going,13
you,feel,13
over,here,13
you,for,13
know,but,13
oh,well,13
think,we,13
god,i,13
and,she,13
to,come,13
you,still,13
was,that,13
dont,worry,13
over,the,13
give,me,13
i,uh,13
more,than,13
yeah,you,13
how,did,13
what,a,13
at,all,13
could,you,13
okay,its,13
we,do,13
didnt,know,13
the,bathroom,13
a,couple,13
you,what,13
out,there,13
that,hey,13
love,her,13
us,to,13
how,much,13
na,have,13
want,me,13
we,had,13
dont,like,13
here,i,13
for,ya,13
ha,ha,13
back,in,12
yes,and,12
make,it,12
its,like,12
dont,get,12
what,does,12
when,youre,12
does,it,12
i,wont,12
need,a,12
we,didnt,12
feel,like,12
i,hate,12
i,wanted,12
the,most,12
oh,im,12
well,yknow,12
theres,no,12
na,make,12
the,whole,12
thanks,for,12
you,tell,12
think,it,12
not,going,12
there,are,12
now,that,12
mean,you,12
yeah,okay,12
just,say,12
you,gon,12
the,guy,12
for,her,12
uh,huh,12
the,woman,12
make,me,12
hes,not,12
last,time,12
like,you,12
a,baby,12
a,girl,12
yes,but,12
what,we,12
how,about,12
when,we,12
the,fact,12
fact,that,12
look,what,12
the,time,12
ill,be,12
had,to,12
lets,go,12
sleep,with,12
here,you,12
hang,out,12
okay,oh,12
stop,it,12
before,we,12
go,go,12
all,day,12
thats,right,11
for,us,11
think,this,11
it,up,11
about,to,11
god,oh,11
is,my,11
it,out,11
hey,yknow,11
whats,up,11
told,you,11
not,that,11
i,feel,11
it,im,11
hey,look,11
excuse,me,11
it,and,11
shes,gon,11
look,like,11
me,up,11
you,like,11
ive,never,11
was,in,11
way,i,11
listen,i,11
they,are,11
what,youre,11
the,part,11
i,saw,11
hes,a,11
ross,is,11
could,get,11
i,hope,11
closing,credits,11
with,him,11
with,my,11
because,its,11
of,those,11
they,were,11
see,that,11
for,my,11
it,go,11
how,can,11
are,gon,11
you,oh,11
the,money,11
and,thats,11
looking,at,11
you,never,11
but,we,11
at,me,11
yeah,but,11
okay,bye,11
couple,of,11
see,it,11
know,the,11
her,that,11
do,we,11
no,im,11
you,could,11
ow,ow,11
maybe,we,11
yeah,thats,11
monica,i,11
the,one,11
give,you,11
look,you,11
why,i,11
the,room,11
hey,joe,11
forget,it,11
oh,yknow,11
here,well,11
did,she,11
cant,do,11
whats,going,11
ending,credits,11
chandler,bing,11
and,that,11
a,guy,11
sounds,like,10
its,my,10
just,want,10
dont,do,10
it,doesnt,10
a,real,10
mean,its,10
were,in,10
up,and,10
you,yeah,10
at,work,10
and,this,10
thing,i,10
know,it,10
well,yeah,10
thats,it,10
you,need,10
well,what,10
you,had,10
up,the,10
me,that,10
you,sure,10
just,the,10
you,this,10
first,time,10
yeah,and,10
up,my,10
uh,what,10
no,its,10
of,them,10
they,dont,10
its,been,10
do,something,10
it,in,10
thought,that,10
her,i,10
about,me,10
to,think,10
just,like,10
oh,you,10
this,isnt,10
that,all,10
and,if,10
of,this,10
arent,you,10
if,youre,10
how,to,10
of,all,10
i,believe,10
good,i,10
to,stop,10
was,my,10
it,hey,10
one,more,10
here,oh,10
into,the,10
the,game,10
good,bye,10
going,out,10
can,we,10
on,this,10
will,be,10
marry,me,10
take,it,10
to,take,10
back,to,10
the,next,10
a,second,10
that,okay,10
because,im,10
ask,you,10
is,there,10
why,is,10
hey,well,10
you,really,10
must,be,10
are,not,10
yes,it,10
in,that,10
the,little,10
the,world,10
of,that,10
was,not,10
has,to,10
there,and,10
its,gon,10
to,help,10
maybe,i,10
why,why,10
and,youre,10
hey,what,10
am,so,10
not,the,10
told,him,10
you,some,10
look,im,10
it,just,10
okay,what,10
to,a,10
what,it,10
think,thats,10
for,that,10
me,in,10
are,going,10
sure,you,10
was,it,9
and,were,9
part,of,9
a,kid,9
me,its,9
right,you,9
it,really,9
up,oh,9
dont,care,9
weve,been,9
one,oh,9
but,its,9
get,up,9
this,thing,9
and,rachel,9
oh,and,9
thats,so,9
heres,the,9
im,very,9
very,very,9
this,to,9
to,give,9
didnt,you,9
is,i,9
talking,to,9
talked,to,9
every,time,9
no,thanks,9
all,i,9
me,im,9
at,a,9
are,a,9
good,luck,9
get,it,9
in,fact,9
all,this,9
all,over,9
me,yknow,9
to,this,9
at,that,9
yknow,we,9
the,entire,9
hey,yeah,9
wants,to,9
together,and,9
not,like,9
would,have,9
wait,wait,9
know,why,9
dont,see,9
oh,good,9
to,my,9
when,they,9
sorry,im,9
and,me,9
call,me,9
that,this,9
before,you,9
the,reason,9
not,to,9
to,put,9
some,of,9
ill,go,9
you,would,9
her,to,9
was,i,9
like,me,9
okay,now,9
right,okay,9
here,is,9
in,college,9
maybe,you,9
with,this,9
i,never,9
thing,you,9
on,i,9
talk,about,9
uh,you,9
so,good,9
to,leave,9
what,to,9
you,uh,9
rachel,and,9
didnt,get,9
there,i,9
you,not,9
you,how,9
what,they,9
on,your,9
little,bit,9
thinking,about,9
the,apartment,9
me,out,9
okay,well,9
im,the,9
phoebe,and,9
on,it,9
but,then,9
can,see,9
its,okay,9
sure,i,9
where,i,9
yknow,im,9
time,to,9
next,time,9
be,okay,9
were,getting,9
you,win,9
because,we,9
yknow,and,9
getting,married,9
am,not,9
i,made,9
okay,because,9
my,wife,9
okay,here,9
dum,dum,9
the,matter,9
a,date,8
which,is,8
wish,i,8
want,a,8
oh,man,8
it,all,8
some,kind,8
see,i,8
such,a,8
okay,no,8
think,of,8
and,monica,8
hell,is,8
me,for,8
you,about,8
put,it,8
up,to,8
mean,that,8
we,still,8
that,she,8
then,you,8
on,her,8
where,are,8
get,me,8
go,i,8
of,his,8
and,what,8
gave,me,8
me,this,8
you,hey,8
like,her,8
so,we,8
oh,so,8
so,youre,8
this,way,8
cause,i,8
yknow,you,8
able,to,8
actually,i,8
out,get,8
a,half,8
me,yeah,8
see,what,8
you,believe,8
well,this,8
is,about,8
dont,we,8
isnt,it,8
not,really,8
can,tell,8
he,is,8
was,thinking,8
with,your,8
didnt,have,8
on,its,8
just,that,8
you,two,8
or,something,8
like,i,8
the,street,8
that,what,8
believe,that,8
end,up,8
oh,what,8
ok,well,8
this,woman,8
hey,so,8
is,what,8
living,room,8
too,yeah,8
telling,you,8
i,promise,8
oh,really,8
here,and,8
right,there,8
i,let,8
that,uh,8
that,that,8
maybe,thats,8
because,youre,8
those,are,8
in,our,8
yes,we,8
ill,take,8
ive,had,8
im,right,8
have,some,8
im,im,8
make,you,8
into,a,8
told,me,8
this,a,8
just,think,8
this,one,8
when,he,8
it,well,8
he,said,8
new,york,8
be,right,8
a,question,8
this,guy,8
should,have,8
have,it,8
that,my,8
the,hall,8
well,that,8
got,me,8
check,out,8
ya,know,8
up,in,8
didnt,want,8
in,this,8
said,it,8
have,sex,8
it,the,8
the,movie,8
well,we,8
this,game,8
you,be,8
can,get,8
he,has,8
said,i,8
will,never,8
years,ago,8
so,bad,8
just,gon,8
you,out,8
youre,doing,8
ross,i,8
joey,i,8
the,chair,8
over,to,8
can,go,8
hey,pheebs,8
how,are,8
about,what,8
just,i,8
get,her,8
sex,with,8
yes,okay,8
that,thats,8
joe,i,8
with,joey,8
think,about,8
a,picture,8
im,sure,8
so,so,8
it,back,8
are,ya,8
you,serious,8
in,with,8
we,cant,8
could,do,8
not,even,8
off,the,8
okay,and,8
do,not,8
if,the,8
okay,ill,8
go,oh,8
about,us,8
it,if,8
me,see,8
my,joke,8
but,youre,8
it,but,8
the,baby,8
our,wedding,8
high,school,7
turns,out,7
i,wish,7
not,be,7
no,idea,7
know,me,7
pretty,much,7
ew,ew,7
does,she,7
and,your,7
was,really,7
not,so,7
not,here,7
this,time,7
you,talking,7
all,those,7
i,were,7
thats,all,7
that,guy,7
be,mad,7
but,that,7
get,some,7
you,that,7
its,great,7
yknow,its,7
you,kidding,7
that,so,7
her,the,7
hold,on,7
are,they,7
go,hey,7
not,good,7
break,up,7
what,would,7
like,it,7
me,how,7
it,we,7
here,with,7
with,it,7
but,the,7
god,you,7
the,coffee,7
oh,that,7
hey,listen,7
believe,me,7
