 Impersonal Pronouns,Adverbs,Affective Processes,All Punctuation,Anger,Anxiety,Articles,Assent,Auxiliary Verbs,Biological Processes,Body,Causation,Certainty,Colon,Comma,Common Verbs,Conjunctions,Dash,Death,Dictionary Words,Discrepancy,Exclamation Marks,Family,Feel,Fillers,First Person Plural,First Person Singular,Friends,Health,Hear,Home,Ingestion,Insight,Leisure,Money,Motion,Negations,Negative Emotion,Number,Numerals,Other Punctuation,Parenthesis,Perceptual Processes,Personal Pronouns,Positive Emotion,Quantifiers,Question Marks,Relativity,Religion,Sadness,Second Person,See,Semicolon,Sentences,Sexual,Six Letter Words,Social Processes,Space,Swear Words,Tentative,Third Person Plural,Third Person Singular,Time,Total Pronouns,Unique Words,Word Count,Words Per Sentence,Work,achiev,adj,affiliation,cogproc,compare,differ,drives,female,focusfuture,focuspast,focuspresent,function,informal,interrog,male,netspeak,nonflu,power,prep,reward,risk
0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,3,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,3,11,13,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,5,6,0.0,3,1,0.0,4,0.0,0.0,1,0.0,0.0,3,4,4,0.0,0.0,36,2,0.0,1,0.0,0.0,0.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,3,0.0,0.0,7,2,2,0.0,5,0.0,0.0,1,0.0,0.0,3,0.0,5,4,2,0.0,3,0.0,0.0,3,11,33,44,14.666666666666666,0.0,0.0,1,1,4,1,2,4,1,1,2,2,25,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3
1,0.0,0.0,2,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,19,24,24.0,0.0,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,0.0,1,11,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0.0
2,1,0.0,4,0.0,0.0,1,0.0,2,1,0.0,0.0,1,0.0,2,4,1,0.0,0.0,21,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,2,0.0,6,0.0,0.0,1,0.0,0.0,2,0.0,4,2,3,0.0,1,0.0,0.0,2,3,25,25,12.5,0.0,0.0,3,0.0,4,2,0.0,1,0.0,0.0,0.0,4,14,0.0,0.0,0.0,0.0,0.0,1,6,0.0,0.0
0.0,0.0,3,2,0.0,0.0,1,0.0,4,1,0.0,0.0,0.0,0.0,0.0,4,1,0.0,0.0,13,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,3,1,0.0,0.0,0.0,0.0,1,0.0,0.0,2,1,2,4,0.0,0.0,1,0.0,0.0,0.0,1,11,11,5.5,0.0,0.0,1,0.0,2,1,1,0.0,0.0,0.0,2,1,7,1,0.0,0.0,1,1,0.0,0.0,0.0,0.0
2,3,1,6,0.0,0.0,6,0.0,1,1,1,3,0.0,0.0,2,4,3,0.0,0.0,50,0.0,0.0,1,0.0,0.0,0.0,2,0.0,1,3,0.0,1,0.0,0.0,4,1,1,0.0,1,0.0,2,0.0,6,6,1,1,2,11,0.0,0.0,2,0.0,0.0,4,0.0,6,5,4,0.0,3,0.0,2,6,8,40,50,12.5,0.0,0.0,3,0.0,7,2,1,0.0,3,0.0,1,3,28,1,1,0.0,0.0,1,0.0,11,0.0,0.0
1,0.0,0.0,2,0.0,0.0,0.0,0.0,2,3,0.0,0.0,1,0.0,0.0,2,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,0.0,1,1,0.0,0.0,0.0,1,0.0,0.0,2,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0,2,11,11,5.5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,6,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0
1,1,2,5,0.0,0.0,1,0.0,3,1,0.0,0.0,0.0,0.0,2,3,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,1,0.0,0.0,1,0.0,0.0,2,0.0,3,2,1,0.0,1,0.0,0.0,0.0,2,0.0,0.0,3,1,4,5,0.0,1,0.0,0.0,0.0,0.0,3,15,16,5.333333333333333,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1,0.0,3,1,0.0,0.0,3,0.0,2,5,5,4,0.0,0.0,0.0,2,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,3,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1,3,8,0.0,4,0.0,0.0,0.0,0.0,0.0,1,20,21,21.0,6,3,0.0,0.0,4,0.0,0.0,3,0.0,0.0,1,1,10,0.0,1,0.0,0.0,0.0,0.0,4,3,0.0
1,2,0.0,2,0.0,0.0,6,0.0,2,2,2,1,0.0,0.0,1,4,1,0.0,0.0,41,1,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,13,0.0,0.0,1,0.0,0.0,1,0.0,4,8,13,0.0,0.0,0.0,0.0,0.0,2,24,35,35.0,0.0,0.0,1,3,6,0.0,4,4,1,0.0,1,2,20,0.0,0.0,0.0,0.0,0.0,1,6,0.0,0.0
