 Impersonal Pronouns,Adverbs,Affective Processes,All Punctuation,Anger,Anxiety,Articles,Assent,Auxiliary Verbs,Biological Processes,Body,Causation,Certainty,Colon,Comma,Common Verbs,Conjunctions,Dash,Death,Dictionary Words,Discrepancy,Exclamation Marks,Family,Feel,Fillers,First Person Plural,First Person Singular,Friends,Health,Hear,Home,Ingestion,Insight,Leisure,Money,Motion,Negations,Negative Emotion,Number,Numerals,Other Punctuation,Parenthesis,Perceptual Processes,Personal Pronouns,Positive Emotion,Quantifiers,Question Marks,Relativity,Religion,Sadness,Second Person,See,Semicolon,Sentences,Sexual,Six Letter Words,Social Processes,Space,Swear Words,Tentative,Third Person Plural,Third Person Singular,Time,Total Pronouns,Unique Words,Word Count,Words Per Sentence,Work,achiev,adj,affiliation,cogproc,compare,differ,drives,female,focusfuture,focuspast,focuspresent,function,informal,interrog,male,netspeak,nonflu,power,prep,reward,risk
0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,3,10,17,8.5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,2,0.0,0.0,1,0.0,1,0.0,0.0,3,0.0,0.0,1,3,1,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,3,0.0,0.0,1,0.0,2,0.0,3,16,17,17.0,0.0,0.0,1,0.0,4,1,0.0,1,0.0,0.0,0.0,3,9,0.0,1,2,0.0,0.0,0.0,2,1,0.0
0.0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,2,3,1,0.0,0.0,2,0.0,0.0,0.0,1,0.0,1,0.0,1,1,1,0.0,0.0,0.0,1,1,3,10,10,10.0,0.0,0.0,1,0.0,2,1,2,1,0.0,0.0,0.0,0.0,8,0.0,1,1,0.0,0.0,1,1,0.0,0.0
0.0,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,2,1,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,5,2,1,0.0,0.0,0.0,0.0,0.0,1,13,14,14.0,2,1,1,0.0,1,0.0,0.0,1,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1,3,0.0,5,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,6,2,0.0,0.0,19,2,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1,1,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,3,0.0,5,1,2,0.0,5,0.0,0.0,0.0,4,18,23,7.666666666666667,1,0.0,0.0,1,7,0.0,2,1,0.0,0.0,2,2,13,1,0.0,0.0,0.0,1,0.0,2,0.0,0.0
0.0,0.0,0.0,1,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,2,0.0,0.0,1,0.0,0.0,1,0.0,2,1,1,0.0,1,0.0,0.0,0.0,1,12,13,13.0,0.0,1,0.0,0.0,2,0.0,0.0,2,0.0,1,0.0,2,6,0.0,0.0,0.0,0.0,0.0,1,3,0.0,0.0
3,0.0,1,5,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,3,2,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1,2,1,1,0.0,1,0.0,0.0,0.0,1,0.0,2,0.0,2,0.0,1,0.0,1,0.0,0.0,0.0,5,17,17,8.5,1,1,2,0.0,1,1,0.0,3,0.0,0.0,0.0,3,10,2,0.0,0.0,0.0,1,0.0,3,2,0.0
0.0,1,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1,3,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,3,1,0.0,0.0,0.0,3,0.0,3,9,12,6.0,1,1,1,0.0,2,0.0,0.0,1,0.0,0.0,0.0,3,4,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,4,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,2,1,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,9,11,3.6666666666666665,0.0,0.0,2,0.0,2,0.0,1,2,0.0,0.0,0.0,2,6,1,1,0.0,0.0,1,0.0,0.0,2,0.0
2,1,0.0,6,0.0,0.0,0.0,0.0,1,4,4,0.0,0.0,0.0,1,2,0.0,1,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,4,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,3,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,4,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1,5,14,19,4.75,0.0,0.0,3,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1,7,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0
