 Impersonal Pronouns,Adverbs,Affective Processes,All Punctuation,Anger,Anxiety,Apostrophe,Articles,Assent,Auxiliary Verbs,Biological Processes,Body,Causation,Certainty,Comma,Common Verbs,Conjunctions,Dash,Death,Dictionary Words,Discrepancy,Exclamation Marks,Family,Feel,Fillers,First Person Plural,First Person Singular,Friends,Health,Hear,Home,Ingestion,Insight,Leisure,Money,Motion,Negations,Negative Emotion,Number,Numerals,Other Punctuation,Parenthesis,Perceptual Processes,Personal Pronouns,Positive Emotion,Quantifiers,Question Marks,Quote Marks,Relativity,Religion,Sadness,Second Person,See,Semicolon,Sentences,Sexual,Six Letter Words,Social Processes,Space,Swear Words,Tentative,Third Person Plural,Third Person Singular,Time,Total Pronouns,Unique Words,Word Count,Words Per Sentence,Work,achiev,adj,affiliation,cogproc,compare,differ,drives,female,focusfuture,focuspast,focuspresent,function,informal,interrog,male,netspeak,nonflu,power,prep,reward,risk
0.0,2,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1,0.0,3,0.0,0.0,0.0,13,0.0,2,0.0,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2,5,0.0,0.0,1,0.0,1,0.0,2,11,11,5.5,1,1,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0.0,4,7,0.0,0.0,4,0.0,0.0,0.0,2,0.0,0.0
4,2,2,5,0.0,0.0,0.0,1,1,3,4,0.0,0.0,2,1,4,1,1,0.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,3,0.0,1,0.0,1,2,0.0,1,0.0,3,0.0,0.0,0.0,2,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,1,1,6,1,0.0,0.0,0.0,0.0,1,4,20,21,7.0,0.0,0.0,0.0,0.0,4,0.0,2,0.0,0.0,1,0.0,2,14,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,3,0.0,1,0.0,0.0,3,0.0,0.0,1,0.0,0.0,2,0.0,0.0,2,1,0.0,1,0.0,1,1,4,12,12,6.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1,0.0,1,2,6,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0
10,0.0,1,12,0.0,0.0,0.0,0.0,1,3,0.0,0.0,0.0,6,7,4,3,2,0.0,24,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2,1,1,1,0.0,1,0.0,0.0,1,0.0,0.0,3,0.0,8,9,1,0.0,0.0,0.0,0.0,0.0,12,20,27,9.0,0.0,1,1,2,7,0.0,0.0,4,0.0,0.0,1,3,18,1,0.0,2,0.0,0.0,1,0.0,0.0,0.0
0.0,2,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1,3,2,0.0,0.0,16,1,0.0,0.0,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1,3,0.0,0.0,1,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,2,5,0.0,0.0,1,0.0,0.0,2,3,14,14,14.0,0.0,0.0,0.0,2,2,0.0,1,2,1,1,0.0,3,9,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
2,3,1,2,0.0,0.0,0.0,1,0.0,2,0.0,0.0,0.0,0.0,1,4,1,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,1,0.0,0.0,4,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,1,3,1,0.0,1,0.0,3,1,6,18,18,18.0,0.0,0.0,2,0.0,3,0.0,2,1,2,0.0,1,3,12,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0
1,2,1,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,4,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,0.0,0.0,2,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,2,2,1,0.0,1,0.0,0.0,0.0,3,10,10,10.0,0.0,0.0,0.0,1,1,0.0,0.0,1,0.0,0.0,1,2,6,1,1,0.0,0.0,1,0.0,1,0.0,0.0
4,2,2,4,0.0,0.0,0.0,0.0,0.0,1,6,6,0.0,0.0,1,3,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,4,11,13,6.5,0.0,1,2,0.0,2,0.0,0.0,1,0.0,0.0,0.0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1,3,2,6,0.0,0.0,0.0,1,1,1,1,0.0,4,0.0,3,3,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1,1,2,0.0,1,0.0,0.0,0.0,0.0,1,1,0.0,3,0.0,3,1,0.0,0.0,3,0.0,0.0,0.0,2,15,15,5.0,0.0,1,1,0.0,7,1,0.0,5,0.0,0.0,0.0,2,9,2,0.0,0.0,0.0,0.0,4,2,2,0.0
1,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,8,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2,0.0,2,4,1,0.0,0.0,0.0,2,2,3,8,9,4.5,0.0,0.0,0.0,2,0.0,0.0,0.0,3,2,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
