 Impersonal Pronouns,Adverbs,Affective Processes,All Punctuation,Anger,Anxiety,Apostrophe,Articles,Assent,Auxiliary Verbs,Biological Processes,Body,Causation,Certainty,Comma,Common Verbs,Conjunctions,Dash,Death,Dictionary Words,Discrepancy,Exclamation Marks,Family,Feel,Fillers,First Person Plural,First Person Singular,Friends,Health,Hear,Home,Ingestion,Insight,Leisure,Money,Motion,Negations,Negative Emotion,Number,Numerals,Other Punctuation,Parenthesis,Perceptual Processes,Personal Pronouns,Positive Emotion,Quantifiers,Question Marks,Quote Marks,Relativity,Religion,Sadness,Second Person,See,Semicolon,Sentences,Sexual,Six Letter Words,Social Processes,Space,Swear Words,Tentative,Third Person Plural,Third Person Singular,Time,Total Pronouns,Unique Words,Word Count,Words Per Sentence,Work,achiev,adj,affiliation,cogproc,compare,differ,drives,female,focusfuture,focuspast,focuspresent,function,informal,interrog,male,netspeak,nonflu,power,prep,reward,risk
1,1,0.0,4,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,3,0.0,2,4,0.0,1,0.0,21,1,1,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,2,1,0.0,0.0,0.0,0.0,1,0.0,4,14,16,16.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,1,0.0,1,3,14,1,1,0.0,0.0,1,0.0,8,0.0,0.0
3,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,4,1,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,7,0.0,1,0.0,3,0.0,0.0,0.0,3,12,18,18.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1,1,1,3,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,1,5,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,2,0.0,2,0.0,1,1,1,0.0,0.0,0.0,4,0.0,0.0,0.0,1,0.0,2,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,2,11,11,5.5,0.0,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,0.0,2,6,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0
0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2,4,1,0.0,0.0,10,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,11,5.5,0.0,0.0,0.0,0.0,4,0.0,1,0.0,0.0,1,0.0,2,7,1,0.0,0.0,0.0,1,0.0,1,0.0,0.0
1,0.0,0.0,2,0.0,0.0,0.0,2,0.0,2,0.0,0.0,0.0,0.0,1,3,0.0,0.0,0.0,13,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,1,2,0.0,0.0,0.0,0.0,4,0.0,0.0,1,0.0,0.0,1,0.0,0.0,3,1,0.0,0.0,0.0,1,2,3,14,14,14.0,0.0,1,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
4,6,7,14,6,0.0,0.0,0.0,0.0,6,1,0.0,1,3,7,16,11,1,6,84,0.0,0.0,2,1,0.0,0.0,11,3,1,0.0,3,0.0,6,0.0,0.0,2,1,6,2,0.0,6,0.0,2,16,1,0.0,0.0,0.0,12,0.0,0.0,2,0.0,0.0,6,0.0,12,13,5,0.0,1,0.0,3,6,20,55,74,12.333333333333334,0.0,4,0.0,1,12,1,1,10,2,2,10,5,45,0.0,3,6,0.0,0.0,7,6,1,0.0
3,2,1,6,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,4,1,1,0.0,14,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,3,1,0.0,0.0,0.0,2,0.0,0.0,2,0.0,0.0,1,0.0,4,3,0.0,0.0,0.0,0.0,1,2,6,12,15,15.0,0.0,0.0,1,0.0,2,0.0,1,0.0,1,0.0,3,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2,10,0.0,1,0.0,1,0.0,3,0.0,0.0,0.0,1,4,6,2,2,0.0,21,0.0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,2,1,0.0,0.0,3,0.0,0.0,5,1,1,0.0,0.0,3,0.0,0.0,3,0.0,0.0,4,0.0,2,4,2,0.0,0.0,0.0,0.0,0.0,5,18,24,6.0,0.0,0.0,1,1,4,2,2,2,0.0,0.0,0.0,4,13,1,0.0,0.0,0.0,1,0.0,3,1,0.0
1,0.0,0.0,5,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,1,3,0.0,1,0.0,11,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,3,0.0,1,2,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,3,0.0,1,3,1,0.0,0.0,0.0,1,0.0,3,12,12,4.0,2,1,1,1,0.0,1,0.0,3,1,0.0,0.0,3,5,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0
1,0.0,3,4,0.0,0.0,0.0,2,0.0,0.0,5,4,0.0,0.0,3,6,2,0.0,0.0,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,4,4,3,0.0,0.0,0.0,2,0.0,0.0,4,4,0.0,1,0.0,0.0,4,1,0.0,2,0.0,0.0,1,5,19,21,21.0,0.0,0.0,0.0,0.0,3,1,1,0.0,0.0,0.0,1,2,11,1,0.0,0.0,1,0.0,0.0,2,0.0,0.0
1,2,1,3,0.0,0.0,1,1,0.0,2,0.0,0.0,0.0,0.0,1,4,2,0.0,0.0,16,1,1,0.0,0.0,0.0,1,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1,0.0,1,3,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,0.0,0.0,1,1,4,17,17,8.5,0.0,0.0,0.0,1,2,0.0,1,2,0.0,0.0,2,1,12,1,0.0,1,0.0,1,0.0,1,1,0.0
1,1,2,8,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.0,6,5,2,0.0,0.0,21,1,0.0,0.0,0.0,3,1,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,3,2,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,0.0,1,4,0.0,0.0,2,0.0,0.0,1,4,14,17,17.0,0.0,0.0,0.0,1,6,0.0,3,1,0.0,0.0,1,4,9,6,0.0,0.0,2,1,0.0,0.0,0.0,0.0
