 Impersonal Pronouns,Adverbs,Affective Processes,All Punctuation,Anger,Anxiety,Apostrophe,Articles,Assent,Auxiliary Verbs,Biological Processes,Body,Causation,Certainty,Comma,Common Verbs,Conjunctions,Dash,Death,Dictionary Words,Discrepancy,Exclamation Marks,Family,Feel,Fillers,First Person Plural,First Person Singular,Friends,Health,Hear,Home,Ingestion,Insight,Leisure,Money,Motion,Negations,Negative Emotion,Number,Numerals,Other Punctuation,Parenthesis,Perceptual Processes,Personal Pronouns,Positive Emotion,Quantifiers,Question Marks,Quote Marks,Relativity,Religion,Sadness,Second Person,See,Semicolon,Sentences,Sexual,Six Letter Words,Social Processes,Space,Swear Words,Tentative,Third Person Plural,Third Person Singular,Time,Total Pronouns,Unique Words,Word Count,Words Per Sentence,Work,achiev,adj,affiliation,cogproc,compare,differ,drives,female,focusfuture,focuspast,focuspresent,function,informal,interrog,male,netspeak,nonflu,power,prep,reward,risk
5,2,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,2,7,1,0.0,0.0,36,0.0,0.0,0.0,4,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,4,5,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,1,0.0,4,3,4,0.0,3,0.0,0.0,0.0,10,21,25,25.0,0.0,0.0,1,0.0,4,1,0.0,2,0.0,0.0,0.0,1,17,0.0,0.0,0.0,0.0,0.0,2,5,0.0,0.0
1,3,6,11,0.0,0.0,0.0,0.0,2,5,0.0,0.0,0.0,1,5,7,0.0,0.0,0.0,23,1,2,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,0.0,0.0,2,0.0,0.0,5,5,0.0,2,0.0,2,0.0,1,0.0,0.0,0.0,6,0.0,3,2,0.0,0.0,1,0.0,1,1,6,21,26,4.333333333333333,0.0,0.0,3,0.0,3,0.0,1,1,1,3,0.0,5,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,1,3,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,10,0.0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,2,1,1,0.0,0.0,2,0.0,4,10,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1,1,8,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
4,2,1,5,0.0,0.0,0.0,0.0,1,3,0.0,0.0,2,3,1,6,1,0.0,0.0,17,1,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,3,0.0,1,0.0,0.0,0.0,0.0,0.0,2,0.0,2,4,1,0.0,0.0,0.0,1,0.0,6,15,16,8.0,0.0,0.0,0.0,0.0,9,0.0,1,0.0,1,0.0,1,4,13,1,2,0.0,0.0,0.0,0.0,1,0.0,0.0
0.0,4,1,5,0.0,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,1,4,0.0,1,0.0,18,2,1,2,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,3,0.0,0.0,4,1,1,1,0.0,1,0.0,0.0,0.0,0.0,0.0,2,0.0,1,2,0.0,0.0,0.0,0.0,0.0,1,4,11,17,8.5,0.0,0.0,1,2,2,0.0,0.0,2,0.0,1,0.0,4,13,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1,0.0,0.0,3,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,0.0,1,2,0.0,0.0,0.0,7,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1,8,8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0
0.0,1,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,2,0.0,0.0,1,0.0,2,0.0,0.0,2,0.0,0.0,1,0.0,3,2,1,0.0,0.0,0.0,0.0,1,2,8,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,2,5,1,2,0.0,0.0,1,1,2,0.0,0.0
1,5,1,13,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,8,8,3,1,0.0,48,1,0.0,3,1,3,0.0,2,0.0,0.0,0.0,1,0.0,1,0.0,0.0,2,4,1,0.0,0.0,9,0.0,1,6,0.0,0.0,0.0,0.0,13,1,1,4,0.0,0.0,1,0.0,8,9,3,0.0,1,0.0,0.0,8,7,43,45,45.0,0.0,0.0,3,4,4,1,3,8,0.0,4,0.0,5,25,4,0.0,0.0,1,0.0,4,5,1,0.0
10,0.0,0.0,5,0.0,0.0,0.0,3,0.0,3,1,1,1,0.0,2,7,1,1,0.0,38,0.0,0.0,0.0,1,0.0,0.0,5,4,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,3,0.0,0.0,0.0,2,0.0,2,5,0.0,1,0.0,0.0,2,0.0,0.0,0.0,1,0.0,2,0.0,4,4,2,0.0,1,0.0,0.0,0.0,15,27,36,18.0,0.0,0.0,0.0,0.0,4,0.0,1,0.0,0.0,0.0,1,5,26,0.0,0.0,4,0.0,0.0,0.0,3,0.0,0.0
2,0.0,2,3,0.0,0.0,0.0,1,0.0,4,2,0.0,0.0,1,1,5,0.0,0.0,0.0,17,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,2,1,1,0.0,0.0,0.0,1,1,4,17,17,8.5,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1,0.0,3,2,11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
