 Impersonal Pronouns,Adverbs,Affective Processes,All Punctuation,Anger,Anxiety,Articles,Assent,Auxiliary Verbs,Biological Processes,Body,Causation,Certainty,Colon,Comma,Common Verbs,Conjunctions,Dash,Death,Dictionary Words,Discrepancy,Exclamation Marks,Family,Feel,Fillers,First Person Plural,First Person Singular,Friends,Health,Hear,Home,Ingestion,Insight,Leisure,Money,Motion,Negations,Negative Emotion,Number,Numerals,Other Punctuation,Parenthesis,Perceptual Processes,Personal Pronouns,Positive Emotion,Quantifiers,Question Marks,Relativity,Religion,Sadness,Second Person,See,Semicolon,Sentences,Sexual,Six Letter Words,Social Processes,Space,Swear Words,Tentative,Third Person Plural,Third Person Singular,Time,Total Pronouns,Unique Words,Word Count,Words Per Sentence,Work,achiev,adj,affiliation,cogproc,compare,differ,drives,female,focusfuture,focuspast,focuspresent,function,informal,interrog,male,netspeak,nonflu,power,prep,reward,risk
9,2,0.0,5,0.0,0.0,3,0.0,6,0.0,0.0,0.0,0.0,0.0,3,9,7,0.0,0.0,47,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,1,0.0,2,0.0,0.0,0.0,0.0,3,0.0,8,0.0,0.0,0.0,0.0,0.0,2,0.0,8,0.0,4,0.0,3,0.0,0.0,2,9,34,60,30.0,0.0,0.0,3,0.0,8,3,8,0.0,0.0,3,2,4,40,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0
1,2,1,3,0.0,0.0,2,0.0,0.0,1,1,0.0,0.0,0.0,1,1,0.0,1,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2,14,18,18.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0.0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0
1,0.0,0.0,2,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,10,10.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,0.0,5,0.0,0.0,2,0.0,3,0.0,0.0,3,4,0.0,1,5,0.0,0.0,0.0,33,0.0,0.0,3,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,2,0.0,0.0,0.0,4,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,4,0.0,7,6,2,0.0,0.0,0.0,0.0,0.0,6,35,38,9.5,0.0,0.0,3,5,8,1,0.0,6,3,1,0.0,4,18,0.0,1,0.0,0.0,0.0,1,4,0.0,0.0
2,1,5,4,0.0,0.0,5,0.0,3,0.0,0.0,2,0.0,0.0,3,9,5,0.0,0.0,46,7,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,1,2,0.0,4,0.0,0.0,1,0.0,0.0,6,1,1,0.0,8,0.0,3,0.0,0.0,0.0,1,0.0,4,5,6,0.0,5,0.0,3,1,8,46,54,54.0,0.0,1,2,0.0,15,1,5,4,3,1,0.0,7,29,0.0,2,1,0.0,0.0,3,7,0.0,0.0
0.0,2,1,1,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,8,8,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
3,1,1,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,1,1,0.0,0.0,1,0.0,0.0,1,0.0,1,2,1,0.0,0.0,0.0,0.0,0.0,4,9,9,9.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
0.0,0.0,0.0,2,0.0,0.0,2,0.0,2,0.0,0.0,0.0,0.0,0.0,1,2,3,0.0,0.0,22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2,0.0,1,0.0,0.0,0.0,0.0,2,0.0,7,0.0,0.0,0.0,0.0,0.0,1,0.0,1,3,5,0.0,2,0.0,0.0,0.0,0.0,18,19,19.0,0.0,0.0,4,0.0,2,3,1,0.0,0.0,1,0.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
1,1,2,4,0.0,0.0,1,0.0,2,0.0,0.0,0.0,1,0.0,3,3,1,0.0,0.0,20,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,0.0,1,0.0,0.0,4,1,1,0.0,1,0.0,1,0.0,0.0,0.0,1,0.0,2,4,0.0,0.0,0.0,0.0,1,1,5,18,20,20.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,3,0.0,11,0.0,1,4,0.0,0.0,0.0,1,0.0,0.0
1,0.0,0.0,2,0.0,0.0,1,0.0,1,0.0,0.0,3,0.0,0.0,1,1,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,10,10.0,1,1,0.0,0.0,3,0.0,0.0,1,0.0,0.0,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
